"Date","Price","Open","High","Low","Change %"
"03/09/2026","0.190","0.130","0.310","-0.060","35.71%"
"03/06/2026","0.140","0.040","0.160","-0.130","40.00%"
"03/05/2026","0.100","0.040","0.100","-0.130","0.00%"
"03/04/2026","0.100","0.080","0.140","-0.130","-28.57%"
"03/03/2026","0.140","0.030","0.140","-0.150","180.00%"
"03/02/2026","0.050","-0.030","0.050","-0.170","0.00%"
"02/27/2026","0.050","-0.030","0.050","-0.180","-350.00%"
"02/26/2026","-0.020","-0.020","0.050","-0.180","-140.00%"
"02/25/2026","0.050","-0.050","0.050","-0.180","-37.50%"
"02/24/2026","0.080","0.080","0.080","-0.200","0.00%"
"02/23/2026","0.080","-0.020","0.080","-0.210","0.00%"
"02/20/2026","0.080","-0.010","0.080","-0.220","-200.00%"
"02/19/2026","-0.080","-0.060","0.080","-0.220","-200.00%"
"02/18/2026","0.080","-0.050","0.080","-0.180","-144.44%"
"02/17/2026","-0.180","-0.040","0.080","-0.180","-325.00%"
"02/16/2026","0.080","-0.030","0.080","-0.180","0.00%"
"02/13/2026","0.080","0.080","0.080","-0.180","0.00%"
"02/12/2026","0.080","-0.030","0.080","-0.040","0.00%"
"02/11/2026","0.080","-0.040","0.080","-0.190","0.00%"
"02/10/2026","0.080","-0.020","0.080","-0.180","0.00%"
"02/09/2026","0.080","-0.040","0.080","-0.040","0.00%"
"02/06/2026","0.080","-0.020","0.080","-0.190","0.00%"
"02/05/2026","0.080","-0.010","0.080","-0.130","-161.54%"
"02/04/2026","-0.130","-0.030","0.080","-0.130","-230.00%"
"02/03/2026","0.100","-0.020","0.100","-0.130","0.00%"
"02/02/2026","0.100","-0.030","0.140","-0.180","-28.57%"
"01/30/2026","0.140","-0.020","0.140","-0.170","-177.78%"
"01/29/2026","-0.180","-0.030","0.140","-0.190","5.88%"
"01/28/2026","-0.170","-0.020","0.140","-0.170","-221.43%"
"01/27/2026","0.140","0.010","0.140","-0.130","0.00%"
"01/26/2026","0.140","0.010","0.140","-0.140","0.00%"
"01/23/2026","0.140","0.020","0.140","-0.130","600.00%"
