"Date","Price","Open","High","Low","Change %"
"03/09/2026","2.030","2.080","2.080","2.030","-2.40%"
"03/06/2026","2.080","2.150","2.150","2.080","-3.21%"
"03/05/2026","2.149","2.180","2.190","2.149","-1.42%"
"03/04/2026","2.180","2.180","2.190","2.180","0.00%"
"03/03/2026","2.180","2.150","2.200","2.150","1.40%"
"03/02/2026","2.150","2.205","2.265","2.110","-2.49%"
"02/27/2026","2.205","2.201","2.205","2.110","1.15%"
"02/26/2026","2.180","2.150","2.290","2.120","1.40%"
"02/25/2026","2.150","2.160","2.180","2.120","-1.38%"
"02/24/2026","2.180","2.150","2.180","2.120","0.00%"
"02/23/2026","2.180","2.130","2.180","2.110","2.35%"
"02/20/2026","2.130","2.131","2.131","2.080","0.00%"
"02/19/2026","2.130","2.130","2.130","2.130","0.00%"
"02/18/2026","2.130","2.130","2.130","2.130","0.00%"
"02/17/2026","2.130","2.130","2.130","2.130","0.00%"
"02/16/2026","2.130","2.150","2.160","2.130","-0.93%"
"02/13/2026","2.150","2.161","2.190","2.090","-0.46%"
"02/12/2026","2.160","2.140","2.160","2.110","0.89%"
"02/11/2026","2.141","2.170","2.170","2.080","-1.34%"
"02/10/2026","2.170","2.149","2.170","2.149","0.93%"
"02/09/2026","2.150","2.181","2.190","2.140","-2.27%"
